Rank,Movie Title,Opening,"% of
Total",Total Gross
1622,A Chinese Fairy Tale,"$182,610",55.6%,"$328,204"
1623,Virtual Recall,"$180,968",100.0%,"$180,968"
1624,Sum yuen (Forest of Death),"$180,748",25.2%,"$717,444"
1625,Flyboys,"$180,401",40.0%,"$451,339"
1626,Prityazhenie,"$178,104",48.2%,"$369,879"
1627,Young Love Lost,"$176,610",39.1%,"$451,772"
1628,My Blueberry Nights,"$176,271",12.6%,"$1,398,408"
1629,Kansen rett?,"$175,623",100.0%,"$175,623"
1630,Kampfansage - Der letzte Sch?ler (Bullet Fist),"$175,486",36.0%,"$487,673"
1631,Volkodav iz roda serykh psov (The Wolfhound),"$175,176",54.3%,"$322,863"
1632,Can't See Me Love You,"$175,106",53.7%,"$326,131"
1633,Soul House,"$174,655",60.3%,"$289,564"
1634,Funeral Wake,"$174,376",35.4%,"$493,000"
1635,Nightmare of Darkness,"$174,296",55.9%,"$311,586"
1636,Mysterious Face 2,"$173,671",56.2%,"$308,903"
1637,Fagara,"$172,995",73.9%,"$234,097"
1638,Ala Changso,"$171,830",50.6%,"$339,673"
1639,Baiyun Bridge,"$168,867",62.4%,"$270,827"
1640,Triple Threat,"$168,740",98.6%,"$171,198"
1641,Kedi,"$167,520",41.5%,"$403,641"
1642,The Kidnap,"$166,894",100.0%,"$166,894"
1643,Fake Partner,"$165,491",77.6%,"$213,273"
1644,Run For Love (Zai shijie de zhongxin huhuan ai),"$165,264",2.3%,"$7,250,876"
1645,Love Pascal,"$165,230",32.3%,"$512,000"
1646,The Haunted Cinema 2,"$165,003",42.7%,"$386,634"
1647,The Eight Immortals,"$164,628",86.4%,"$190,536"
1648,Brothers of the Wind,"$161,374",67.0%,"$240,730"
1649,The Awakening Calling from Love,"$161,068",33.9%,"$474,656"
1650,Lighting Dindin,"$160,965",14.0%,"$1,149,860"
1651,Voltage Extraordinaire,"$160,000",100.0%,"$160,000"
1652,"Farewell, My Love","$158,446",55.1%,"$287,404"
1653,Papillon (2018),"$158,099",100.0%,"$158,099"
1654,"52Hz, I Love You","$155,715",77.4%,"$201,172"
1655,The Beautiful Lie,"$155,269",46.8%,"$331,844"
1656,Fighting Men of China,"$154,289",5.1%,"$3,004,460"
1657,My Little Monster,"$154,242",48.6%,"$317,538"
1658,The Express (2018),"$153,645",48.8%,"$314,854"
1659,The Ring (2017),"$153,349",51.0%,"$300,741"
1660,The Secret of Immortal Code,"$153,216",98.9%,"$154,845"
1661,Girl Dorm,"$152,867",55.3%,"$276,486"
1662,Linglong Wells,"$152,665",49.8%,"$306,411"
1663,Kung Fu Boys,"$151,589",24.6%,"$616,640"
1664,Godzilla: Monster Planet,"$151,113",64.8%,"$233,229"
1665,Nui yan boon sik (Wonder Woman),"$151,097",69.4%,"$217,684"
1666,Feng Menglong's Legend,"$150,703",52.7%,"$285,714"
1667,27 Dresses,"$150,000",21.1%,"$711,654"
1668,Ratchet & Clank,"$149,763",40.4%,"$370,256"
1669,Cheers For The Youth,"$149,331",28.0%,"$533,102"
1670,Falling In Love,"$148,938","4,363.8%","$3,413"
1671,Colt 45,"$147,131",57.0%,"$258,073"
1672,Inside the Boys,"$146,849",42.9%,"$342,389"
1673,Wushu,"$145,686",83.4%,"$174,708"
1674,Night Attack,"$145,157",45.7%,"$317,965"
1675,Good Boy and Kung Fu,"$144,214",100.0%,"$144,214"
1676,Love in Late Autumn,"$143,814",96.2%,"$149,439"
1677,Fate Express,"$142,482",90.7%,"$157,047"
1678,Falling in Love,"$142,102",39.2%,"$362,145"
1679,Long Day's Journey Into Night,"$142,098",0.3%,"$41,464,344"
1680,The Legend of the Ancient Sword,"$138,307",6.8%,"$2,029,441"
1681,Invincible Dragon,"$138,230",5.3%,"$2,605,455"
1682,The Code On The Fingertips,"$136,626",99.5%,"$137,359"
1683,Twenty Nine Plus One,"$136,138",60.1%,"$226,415"
1684,Love Studio,"$135,993",0.6%,"$21,590,285"
1685,Super Kindergarten,"$135,983",46.8%,"$290,308"
1686,Spy Eyes,"$135,643",63.5%,"$213,635"
1687,Help (2007),"$135,593",26.8%,"$505,365"
1688,"Six Years, Six Days","$134,839",7.6%,"$1,785,824"
1689,Five Besties: Divorce Busting,"$134,540",38.1%,"$353,535"
1690,My Wife is a Superstar,"$134,523",96.0%,"$140,088"
1691,Bullet & Brain,"$133,950",40.0%,"$334,874"
1692,Panic: Ghost Apartment,"$131,650",45.8%,"$287,293"
1693,Special Female Force,"$131,460",34.0%,"$386,261"
1694,Mui dong bin wan si (Hooked on You),"$131,173",43.2%,"$303,438"
1695,Damnation,"$130,880",62.0%,"$210,967"
1696,La ch'tite famille,"$130,309",91.7%,"$142,058"
1697,A Bite Of China - Celebrating The Chinese New Year,"$130,228",61.3%,"$212,418"
1698,Common Destiny,"$129,868",94.2%,"$137,931"
1699,Room 704,"$129,792",48.9%,"$265,515"
1700,Les saisons (Seasons),"$129,545",17.9%,"$722,684"
1701,The Taste of Rice Flower,"$129,169",37.3%,"$346,069"
1702,If You are Happy,"$129,143",81.5%,"$158,527"
1703,You Don't Mess With Little Bugs,"$128,995",100.0%,"$128,995"
1704,The Lost Land,"$128,809",60.6%,"$212,590"
1705,Haunted Dormitory: White Paper Girl,"$128,325",33.9%,"$378,192"
1706,Kill Switch,"$127,382",99.8%,"$127,700"
1707,Zhou Enlai Returned To Yanan,"$125,544",3.2%,"$3,886,023"
1708,Doctor's Mind,"$124,432",7.3%,"$1,706,807"
1709,End of Summer,"$122,503",42.8%,"$286,549"
1710,Sun taam (Mad Detective),"$121,208",26.5%,"$456,980"
1711,Daughter (2015),"$121,137",39.4%,"$307,697"
1712,Cell,"$120,175",63.3%,"$189,981"
1713,Close to You (Jin zai zhi chi),"$119,544",99.5%,"$120,121"
1714,Ice Kacang Puppy Love,"$118,333",58.2%,"$203,194"
1715,Big Fire,"$116,177",7.5%,"$1,539,719"
1716,Bienazijibudangganbu,"$116,059",45.0%,"$257,931"
1717,Sentence Me Guilty,"$115,997",11.3%,"$1,028,343"
1718,The Soul Pawnshop,"$115,781",56.9%,"$203,386"
1719,Lichozrouti (The Oddsockeaters),"$115,454",77.8%,"$148,342"
1720,Paranoia (2016),"$114,918",87.8%,"$130,915"
1721,Breathing,"$114,097",39.4%,"$289,527"
1722,Life is a Belief,"$113,555",65.4%,"$173,603"
1723,Four Warriors: The Underworld,"$113,508",37.7%,"$301,159"
1724,Endless Loop,"$113,080",20.8%,"$542,586"
1725,Yellowbird,"$112,813",54.5%,"$207,155"
1726,Liang ren fang,"$111,281",100.0%,"$111,281"
1727,The Frighten Studio,"$110,939",47.3%,"$234,423"
1728,Mo Er Zhuang Yuan 3: Mo Huan Lie Che Da Mao Xian,"$110,384",6.8%,"$1,618,159"
1729,To My 19-Year-Old,"$109,915",16.2%,"$678,553"
1730,Midnight Soul Road,"$108,523",32.7%,"$332,041"
1731,Shik-gaek (Le Grand Chef),"$108,148",25.3%,"$427,710"
1732,The Monkey King 2D,"$107,924",1.7%,"$6,347,492"
1733,Our Infinite Further,"$107,615",39.1%,"$275,315"
1734,Find My Way Home,"$107,367",50.2%,"$213,749"
1735,The Haunted Graduation Photo 2,"$106,665",31.6%,"$337,323"
1736,See You Up There,"$106,512",30.0%,"$355,180"
1737,Animal Rescue Squad,"$106,423",24.0%,"$442,969"
1738,Legends of the Three Kingdoms,"$105,323",70.3%,"$149,755"
1739,Walking Past The Future,"$105,016",27.1%,"$387,766"
1740,Young's Female Warrior,"$104,619",82.1%,"$127,410"
1741,Great Cold,"$104,345",11.4%,"$917,277"
1742,Lichun (And the Spring Comes),"$104,076",36.4%,"$285,555"
1743,Taste of Spring,"$103,541",42.3%,"$244,612"
1744,Tim sum fun si wong (Super Fans),"$103,403",66.6%,"$155,205"
1745,Yesterday,"$103,354",65.0%,"$158,915"
1746,Karma (2018),"$102,408",53.1%,"$193,005"
1747,Mid-night,"$102,183",80.7%,"$126,654"
1748,Aftermath,"$102,142",71.1%,"$143,636"
1749,Er shi si cheng ji (24 City),"$101,599",63.2%,"$160,633"
1750,Where's the Husband,"$101,345",84.5%,"$119,943"
1751,Starbuck,"$100,000",100.0%,"$100,000"
1752,Esquire Runaway,"$99,964",38.6%,"$258,900"
1753,Anaconda Frightened,"$99,799",69.8%,"$142,902"
1754,Mi guo (Lost Indulgence),"$99,498",34.9%,"$285,399"
1755,DOA: Dead or Alive,"$99,075",19.2%,"$516,235"
1756,Midnight Record Search,"$98,027",100.0%,"$98,027"
1757,Music and Dream,"$98,024",52.2%,"$187,886"
1758,Scary Notes,"$97,728",29.5%,"$331,519"
1759,The Closet,"$97,572",28.8%,"$339,156"
1760,Adventure in Time and Space,"$96,775",24.8%,"$390,928"
1761,Funny Soccer,"$95,745",77.6%,"$123,459"
1762,Phoenix Forgotten,"$95,708",98.1%,"$97,583"
1763,Disturbed Souls on Campus,"$95,491",50.1%,"$190,532"
1764,Juvenile Advisor of Dayu Treasure,"$95,331",57.0%,"$167,170"
1765,Ye Mei Gui (Night Rose),"$94,891",54.1%,"$175,441"
1766,If You Cherish Me,"$93,083",47.6%,"$195,419"
1767,The River in Me,"$92,684",28.8%,"$321,704"
1768,A Paper Marriage,"$92,559",99.8%,"$92,700"
1769,The Heart,"$91,344",100.0%,"$91,344"
1770,The Match,"$91,299",94.2%,"$96,920"
1771,Three Weddings,"$89,892",88.7%,"$101,339"
1772,Tomorrow is Another Day,"$89,684",38.7%,"$231,975"
1773,Midnight XII,"$89,274",24.6%,"$363,597"
1774,The Mirror (2015),"$89,000",5.8%,"$1,540,000"
1775,Ha! Ha! Ha!,"$88,540",68.4%,"$129,467"
1776,The M Riders: Finding Pang,"$88,269",71.0%,"$124,318"
1777,La Doublure (The Valet),"$87,685",100.0%,"$87,685"
1778,Irreversi,"$87,627",33.3%,"$262,816"
1779,50 Meters Line Between Alive or Dead,"$87,561",100.0%,"$87,561"
1780,Ghost Neighbor,"$87,514",99.0%,"$88,441"
1781,Deep Well,"$86,181",60.1%,"$143,451"
1782,Left Right,"$85,379",100.0%,"$85,379"
1783,The Composer,"$84,708",13.0%,"$649,703"
1784,Crazy Ugly Duckling,"$83,636",2.5%,"$3,375,129"
1785,Sinbad and Mermaid Princess,"$83,621",25.6%,"$326,961"
1786,Men on the Dragon,"$83,576",87.4%,"$95,649"
1787,The Kiss Addict,"$83,214",84.8%,"$98,143"
1788,Fridge Horror,"$82,768",40.9%,"$202,398"
1789,The Bystander,"$82,536",55.7%,"$148,272"
1790,"I Love You, You Are Perfect, Now Change","$82,309",68.1%,"$120,837"
1791,My Kitchen Lover,"$82,128",58.3%,"$140,923"
1792,The Last Knight,"$81,918",100.0%,"$81,918"
1793,Be Alarmed,"$81,395",99.8%,"$81,557"
1794,Super Teacher,"$80,980",73.1%,"$110,752"
1795,A Fishboy's Story: Tortoise From the Sea,"$80,522",58.7%,"$137,155"
1796,Indig?nes (Days of Glory),"$80,027",19.8%,"$404,694"
1797,Year of the Dog (2018),"$79,825",27.9%,"$285,872"
1798,Mystery Zone: Soul Eating Hill,"$79,670",99.6%,"$79,980"
1799,Love is Sunshine,"$79,599",12.0%,"$661,229"
1800,Croc-Blanc (White Fang),"$79,431",93.7%,"$84,730"
1801,For Love With You,"$79,322",41.4%,"$191,457"
1802,The Game (2016),"$79,010",51.2%,"$154,330"
1803,Gun chung (Eye in the Sky),"$78,585",7.5%,"$1,043,304"
1804,Le jeune Karl Marx,"$78,583",2.6%,"$3,024,232"
1805,E-Mail,"$77,603",39.7%,"$195,338"
1806,The Warning (El aviso),"$75,952",100.0%,"$75,952"
1807,Fruit Story,"$75,774",12.9%,"$585,388"
1808,Love Godfathers: Three Bad Guys,"$75,329",50.6%,"$148,986"
1809,Xuan Yuan: The Great Emperor,"$74,479",33.0%,"$225,876"
1810,Sky Ladder: The Art of Cai Guo-Qiang,"$73,383",26.4%,"$277,542"
1811,Nise: O Cora??o da Loucura (Nise: The Heart of Madness),"$73,114",53.1%,"$137,765"
1812,Xi Zang Jin Xi,"$73,023",38.5%,"$189,812"
1813,Joulutarina (Christmas Story),"$72,736",38.4%,"$189,546"
1814,Sky Rise,"$72,319",4.7%,"$1,546,530"
1815,Legend of the Tang Dynasty,"$71,744",91.7%,"$78,267"
1816,Running to the Spring,"$70,488",5.1%,"$1,371,255"
1817,Spinning Man,"$69,462",99.8%,"$69,593"
1818,The Ape Story,"$69,174",100.0%,"$69,174"
1819,The Magic of Children: Magic Attack,"$69,157",100.0%,"$69,157"
1820,My Friends,"$67,988",63.8%,"$106,510"
1821,Hong Kong-Zhuhai-Macao Bridge,"$67,346",6.3%,"$1,066,062"
1822,Neighbor,"$66,641",30.0%,"$221,774"
1823,Dragon Blade (2018),"$66,164",49.2%,"$134,540"
1824,Nanking,"$65,694",5.0%,"$1,315,650"
1825,The Last Race,"$65,420",43.9%,"$149,136"
1826,Fatal Nightmare,"$64,846",50.5%,"$128,296"
1827,Red Sorghum,"$64,620",59.6%,"$108,371"
1828,Fascinated Love,"$64,445",29.4%,"$219,012"
1829,Take Me Home (2019),"$64,391",41.2%,"$156,248"
1830,"One Sound, One Life","$64,258",12.6%,"$508,836"
1831,The Last Stickman of Chongqing,"$64,209",44.0%,"$146,050"
1832,Grass Ring,"$63,313",89.7%,"$70,589"
1833,Fat Girl Wedding,"$63,312",100.0%,"$63,312"
1834,Jusqu'? la garde (Custody),"$62,794",53.4%,"$117,668"
1835,Super Master&Disciple,"$60,696",66.7%,"$91,014"
1836,Furie,"$60,458",100.0%,"$60,458"
1837,Waiting for Me in Heaven,"$60,283",99.9%,"$60,326"
1838,Cupid Arrow,"$60,045",68.1%,"$88,163"
1839,Piano Trojan,"$60,000",50.0%,"$120,000"
1840,Fat and Fame,"$59,238",4.5%,"$1,327,225"
1841,The White-Haired Girl,"$58,652",6.8%,"$862,970"
1842,Donkey Xote,"$58,420",44.5%,"$131,393"
1843,Zhou Guo Ping (Road to Home),"$58,274",100.0%,"$58,274"
1844,Horror Love Story Death Road,"$56,936",97.0%,"$58,719"
1845,Path to the Dream,"$56,826",53.0%,"$107,199"
1846,The Bravest Escort Group,"$56,795",91.6%,"$62,007"
1847,China's Post-00s,"$56,588",17.9%,"$316,490"
1848,Star Ant - Global Adventure,"$56,541",34.4%,"$164,460"
1849,Undercover vs Undercover,"$56,314",87.2%,"$64,601"
1850,This Is Life (Sheng Men),"$55,994",29.7%,"$188,556"
1851,Rolling to You,"$55,893",56.5%,"$98,914"
1852,Super Model Fantasy,"$55,722",59.7%,"$93,348"
1853,Flora and Fauna's War,"$55,696",25.5%,"$218,568"
1854,Waiting in Beijing,"$55,360",29.2%,"$189,795"
1855,Still Tomorrow,"$55,332",27.8%,"$198,798"
1856,She Lights Up the Mountain,"$55,194",8.4%,"$654,769"
1857,Khan Kluay,"$54,970",10.2%,"$538,636"
1858,Bridget Jones's Baby,"$54,693",7.3%,"$746,833"
1859,New Pinocchio,"$54,438",66.2%,"$82,257"
1860,Shining Moment,"$54,379",100.0%,"$54,379"
1861,For Love Let Go,"$53,939",99.5%,"$54,194"
1862,Fight,"$53,898",44.8%,"$120,354"
1863,Half the Sky,"$52,885",69.1%,"$76,483"
1864,Bangzi Melody,"$52,788",43.7%,"$120,690"
1865,Alibaba Three Blondes,"$52,597",3.6%,"$1,476,950"
1866,Kung Fu Fighter,"$51,736",17.3%,"$299,518"
1867,Two Little Pigs Braved Mysterious Island,"$51,360",6.9%,"$744,017"
1868,Wang jia xin,"$50,847",92.7%,"$54,863"
1869,One Night 0r Whole Life,"$50,640",94.7%,"$53,487"
1870,Haunted Dormitory: Marionette Teacher,"$50,455",29.4%,"$171,807"
1871,The Song of Cotton,"$49,907",55.8%,"$89,372"
1872,Inside: A Chinese Horror Story,"$49,822",100.0%,"$49,822"
1873,Autumn Fairy Tale,"$49,387",25.5%,"$193,338"
1874,Yin Lingzhi,"$49,337",63.4%,"$77,809"
1875,Blood 13,"$49,280",71.2%,"$69,175"
1876,Master of Oil Painting,"$49,101",53.0%,"$92,673"
1877,Vengeance is Mine,"$49,042",100.0%,"$49,042"
1878,Honeymoon Plan,"$48,950",58.6%,"$83,595"
1879,Got to Heaven Alive,"$48,560",76.1%,"$63,769"
1880,"Zhang Yimou's ""Shadow""","$48,512",45.0%,"$107,787"
1881,Let's Go,"$48,261",29.9%,"$161,474"
1882,Egg Plan,"$48,222",62.2%,"$77,571"
1883,Save Your Soul,"$48,041",47.1%,"$102,030"
1884,Old Beast,"$47,433",15.2%,"$311,678"
1885,Better Man,"$47,321",72.3%,"$65,446"
1886,Zhan. gu (The Drummer),"$47,238",100.0%,"$47,238"
1887,Mirrors and Feathers (The Widowed Witch),"$47,181",47.0%,"$100,318"
1888,Campeones (Champions),"$47,036",54.5%,"$86,247"
1889,Cat Princess,"$46,233",31.9%,"$144,823"
1890,Destinies,"$45,916",8.8%,"$519,018"
1891,708 090 Shenzhen Love Story,"$45,843",99.7%,"$45,996"
1892,Convert Four Cheap,"$45,758",89.5%,"$51,125"
1893,House No. 7,"$45,737",55.9%,"$81,834"
1894,Crazy Arts,"$45,679",89.6%,"$50,995"
1895,My Egg Boy,"$45,517",63.2%,"$72,031"
1896,Journey to the Forbidden Valley,"$45,315",83.6%,"$54,176"
1897,Lei Feng Man,"$44,939",53.3%,"$84,321"
1898,Tharlo,"$44,470",31.0%,"$143,231"
1899,Hello My Dog,"$44,272",23.8%,"$186,226"
1900,Shi fen ai,"$43,990",31.7%,"$138,682"
1901,Oi ching ku see (Basic Love),"$43,881",100.0%,"$43,881"
1902,Out of Control,"$43,823",27.2%,"$160,953"
1903,Mo hup leung juk (Butterfly Lovers),"$43,822",1.0%,"$4,301,830"
1904,A Dog Named Wang Zi,"$43,341",41.4%,"$104,807"
1905,Morengen Bear vs Man,"$43,328",100.0%,"$43,328"
1906,You 5 Ge Jie Jie De Wo Jiu Zhu Ding Yao Dan Shen Le A (Five Sisters),"$43,298",37.2%,"$116,521"
1907,Lost Soul in the Ancient House,"$43,189",100.0%,"$43,189"
1908,Never Give Up,"$43,114",78.5%,"$54,903"
1909,The Faithful,"$42,846",2.6%,"$1,630,917"
1910,Go With Your Gut,"$42,733",21.8%,"$196,403"
1911,Mazinger Z,"$42,149",72.2%,"$58,373"
1912,Family of Winners,"$41,957",6.6%,"$638,695"
1913,Good Night,"$41,879",99.9%,"$41,937"
1914,Goddess in the Flames of War,"$41,147",5.7%,"$716,573"
1915,No Money,"$40,900",100.0%,"$40,900"
1916,Extreme Crisis,"$40,568",16.3%,"$249,263"
1917,Judge Zhongkui,"$40,189",91.3%,"$44,028"
1918,Two Idiots,"$40,162",96.2%,"$41,753"
1919,Phantom from the Deep,"$39,621",18.7%,"$211,751"
1920,Wei Dao Nan Nv,"$39,507",54.1%,"$73,073"
1921,Dead Pigs,"$39,299",891.3%,"$4,409"
1922,Soul on a String,"$38,877",8.0%,"$487,625"
1923,The Frozen Maze,"$38,848",53.9%,"$72,044"
1924,Loops,"$38,828",58.9%,"$65,915"
1925,Tuya de hun shi (Tuya's Marriage),"$38,801",22.2%,"$174,608"
1926,The Unrepentant Youth,"$38,499",55.9%,"$68,836"
1927,Love of the Sea,"$38,099",97.3%,"$39,162"
1928,Wo De Shi Pian (The Verse of Us),"$37,968",8.4%,"$451,030"
1929,Forgive and Forget,"$37,790",100.0%,"$37,790"
1930,Love in 50 Meters,"$37,413",18.5%,"$202,339"
1931,Blind Way,"$37,329",46.0%,"$81,235"
1932,The Death War,"$37,071",98.1%,"$37,778"
1933,DEATH Siam masseur (Massagist),"$36,858",23.1%,"$159,720"
1934,Autumn Sunshine,"$36,625",23.2%,"$157,828"
1935,Dream Breaker,"$36,526",64.1%,"$56,948"
1936,Love of God,"$36,120",95.4%,"$37,853"
1937,The Enchanted Soulmates of Art,"$36,070",99.2%,"$36,355"
1938,Ai De Xie Hou,"$35,740",71.3%,"$50,128"
1939,Shadow (2016),"$35,684",100.0%,"$35,684"
1940,Li Xue Sheng,"$35,631",5.3%,"$676,981"
1941,The Big Lie Bang,"$35,271",32.9%,"$107,213"
1942,Lost Minds,"$35,156",65.5%,"$53,708"
1943,Mr. Big,"$35,049",18.7%,"$187,922"
1944,Fireworks (2019),"$34,989",8.9%,"$391,940"
1945,Looking for the Holy Land,"$34,855",36.5%,"$95,549"
1946,Women Soldiers,"$34,582",54.6%,"$63,297"
1947,Hailongtun Tusi Fortress,"$34,461",22.1%,"$156,145"
1948,Kill Time,"$34,211",1.7%,"$2,002,591"
1949,Wild Kids,"$33,523",100.0%,"$33,523"
1950,Lost in Vietnam,"$33,402",64.1%,"$52,113"
1951,Ye Zhu Zou Ming Qu,"$32,911",100.0%,"$32,911"
1952,Beyond the Mountains,"$32,781",3.7%,"$889,012"
1953,Gongpu,"$32,744",100.0%,"$32,744"
1954,Maria by Callas,"$32,715",32.5%,"$100,628"
1955,Gutian Conference,"$32,653",31.3%,"$104,270"
1956,The Tattoist,"$32,399",93.9%,"$34,521"
1957,The Photographer,"$32,370",1.1%,"$3,042,381"
1958,My Heart Leaps Up,"$31,921",52.7%,"$60,615"
1959,Roommates in Love,"$31,506",48.4%,"$65,032"
1960,The Story Of Yu-Looking For Power,"$31,467",10.6%,"$296,807"
1961,God's Hug,"$31,384",100.0%,"$31,384"
1962,Only Love Can Do This to Me,"$31,214",41.1%,"$75,888"
1964,The North of Peking,"$31,053",21.6%,"$143,865"
1963,Bei Ching Bei Hak,"$31,053",92.1%,"$33,701"
1965,Seven Fright Nights,"$30,909",27.0%,"$114,402"
1966,Happy Planet: Tale of Boy 36,"$30,192",32.2%,"$93,792"
1967,Don't Open the Door,"$30,063",93.8%,"$32,060"
1968,My Love,"$30,029",22.9%,"$130,959"
1969,Mr Zhu's Summer,"$29,800",82.9%,"$35,929"
1970,22nd Catch (Gou Wu Nu Wang),"$29,614",100.0%,"$29,614"
1971,Master Returns,"$29,445",100.0%,"$29,445"
1972,The One Man Olympics,"$29,122",100.0%,"$29,122"
1973,Ye Man De Wen Rou (Barbarian Tender),"$29,104",35.6%,"$81,803"
1974,Ni Hong Deng Xia Xin Shao Bing,"$29,048",100.0%,"$29,048"
1975,Source of Dreams,"$28,538",92.8%,"$30,744"
1976,Defying Chase,"$28,301",91.3%,"$30,994"
1977,The Light,"$28,186",70.4%,"$40,032"
1978,Happy Feet,"$28,179",7.3%,"$386,573"
1979,Under the Sicily Sun,"$28,000",1.0%,"$2,698,994"
1980,Shen xiao chuan qi,"$26,950",10.0%,"$269,502"
1981,After School (2017),"$26,855",61.8%,"$43,469"
1982,Sasha,"$26,666",98.6%,"$27,031"
1983,My Xianggelila,"$26,420",100.0%,"$26,420"
1984,Tamendechuan,"$26,336",47.9%,"$54,969"
1985,Where is the Township,"$26,309",8.4%,"$313,957"
1986,On the Pitch,"$25,978",18.3%,"$141,578"
1987,The Scapegoat,"$25,946",60.6%,"$42,815"
1988,Cao Cao and Yang Xiu,"$25,851",97.7%,"$26,449"
1989,Travel! Frog in the Shallow Well,"$25,678",54.0%,"$47,546"
1990,The Sky Eye,"$25,511",73.4%,"$34,759"
1991,Goddess Times,"$25,293",88.6%,"$28,535"
1992,Sky Corps - Star Beast War,"$25,210",100.0%,"$25,210"
1993,Hetian Jade Legend,"$24,516",3.0%,"$826,149"
1994,The Chaser (2018),"$24,511",58.5%,"$41,914"
1995,Crazy and Dream City,"$24,397",63.9%,"$38,204"
1996,The Chainbreakers,"$24,072",8.5%,"$282,320"
1997,28 Degrees North of Love,"$23,918",57.8%,"$41,413"
1998,Rapid Blind Date,"$23,771",100.0%,"$23,771"
1999,The Business Strom of Ruhai,"$23,481",94.2%,"$24,930"
2000,Hutushenpan,"$23,376",42.5%,"$55,002"
2001,Sea Guard,"$23,109",64.9%,"$35,625"
2002,Snowing Indicate Harvest,"$23,091",78.7%,"$29,343"
2003,The Good Old Days,"$22,998",49.3%,"$46,662"
2004,A Smile from the Mountain,"$22,989",1.7%,"$1,339,004"
2006,Little Q,"$22,876",1.5%,"$1,521,895"
2005,Seventeen Year Old Rainy Season,"$22,876",62.6%,"$36,568"
2007,The Innocence of Childhood,"$22,436",95.5%,"$23,493"
2008,The Legend of 1935,"$22,389",13.3%,"$168,359"
2009,Love Afterlife,"$22,373",61.2%,"$36,540"
2010,Save My Dogs,"$22,235",15.6%,"$142,235"
2011,Fragrance,"$21,935",44.8%,"$48,936"
2012,Burst of Youth,"$21,812",17.1%,"$127,225"
2013,Return (2018),"$21,768",67.4%,"$32,279"
2014,Ghost Sword,"$21,593",18.4%,"$117,363"
2015,The Revenge of Phantom Knight,"$21,545",92.2%,"$23,369"
2016,In the Underground,"$21,519",20.5%,"$104,992"
2017,A Horse with Hope,"$21,500",53.2%,"$40,416"
2018,Nankou in 1937,"$21,353",9.9%,"$215,872"
2019,Final Mission,"$21,018",90.3%,"$23,276"
2020,Blue Goldfish,"$20,822",13.2%,"$157,874"
2021,Toxic Poisoning,"$20,687",100.0%,"$20,687"
2022,Song for Turbulent Youth,"$20,676",100.0%,"$20,676"
2023,Girls Always Happy,"$20,671",100.0%,"$20,671"
2024,Doby & Disy's Dreamy Town,"$20,462",57.1%,"$35,852"
2025,Knife in the Clear Water,"$19,704",22.1%,"$89,226"
2026,Tiandigaobai,"$19,646",100.0%,"$19,646"
2027,Fan,"$19,596",8.9%,"$219,921"
2028,Deadly Treasure,"$19,569",75.0%,"$26,102"
2029,The Girl from Future,"$19,490",11.1%,"$175,696"
2030,Underset,"$19,277",3.2%,"$600,768"
2031,Please Keep Away,"$19,150",99.3%,"$19,287"
2032,Yellow Rose,"$18,858",1.5%,"$1,268,950"
2033,A Roar of Wolf Troops,"$18,851",46.9%,"$40,212"
2034,Catch the King,"$18,824",100.0%,"$18,824"
2035,Crazy Journey,"$18,801",100.0%,"$18,801"
2036,Battle of the Dream,"$18,788",100.0%,"$18,788"
2037,One Night,"$18,671",100.0%,"$18,671"
2038,Stranger (2019),"$18,586",69.6%,"$26,722"
2039,Baby Task Group,"$18,135",64.3%,"$28,219"
2040,Close to Me and Warm You,"$18,026",64.0%,"$28,169"
2041,Intrude the Widow Village at Midnight,"$17,988",22.2%,"$81,191"
2042,Max Steel,"$17,864",6.5%,"$272,819"
2043,Tai Xian,"$17,807",12.3%,"$145,250"
2044,The Most Beautiful Season,"$17,518",8.0%,"$218,412"
2045,Screaming Live,"$17,477",3.7%,"$469,140"
2046,A Class of One,"$17,473",9.0%,"$194,504"
2047,Diamond Anxiety,"$17,460",29.9%,"$58,408"
2048,She's from Another Planet,"$17,423",97.5%,"$17,869"
2049,Out of Crimes,"$17,373",77.8%,"$22,337"
2050,The 5th Dimension,"$17,177",100.0%,"$17,177"
2051,Beijing Taxi Driver,"$17,168",100.0%,"$17,168"
2052,Heart of the Desert,"$17,166",34.9%,"$49,204"
2053,Hu San Niang,"$17,148",100.0%,"$17,148"
2054,Once Upon a Time in China,"$16,946",10.6%,"$159,503"
2055,Sun Flower,"$16,698",90.2%,"$18,516"
2056,Forgetting Space,"$16,616",98.2%,"$16,919"
2057,Bear Summer,"$16,602",100.0%,"$16,602"
2058,Battle of Tortoise and Rabbit,"$16,377",1.1%,"$1,494,779"
2059,A Mysterious Tribe In China,"$16,248",90.6%,"$17,934"
2060,The Little Vampire 3D,"$16,056",52.6%,"$30,521"
2061,Yang Jingyu,"$15,894",18.4%,"$86,463"
2062,So Luckily,"$15,723",57.9%,"$27,143"
2063,Pursuit,"$15,429",98.3%,"$15,688"
2064,You Xi Mi Cang,"$15,339",100.0%,"$15,339"
2065,Revolt,"$15,315",99.3%,"$15,430"
2066,The Moment of Pluto,"$15,259",18.4%,"$83,081"
2067,ATM (2016),"$15,056",100.0%,"$15,056"
2068,The Great Guys,"$14,955",100.0%,"$14,955"
